Dia do ano 	Nascer do sol	Por do sol									
06/12/2021	05:32	19:14									
07/12/2021	05:32	19:15									
08/12/2021	05:32	19:15									
09/12/2021	05:32	19:16									
10/12/2021	05:32	19:17									
11/12/2021	05:32	19:17									
12/12/2021	05:33	19:18									
13/12/2021	05:33	19:19									
14/12/2021	05:33	19:19									
15/12/2021	05:34	19:20									
16/12/2021	05:34	19:20									
17/12/2021	05:34	19:21									
18/12/2021	05:35	19:22									
19/12/2021	05:35	19:22									
20/12/2021	05:36	19:23									
21/12/2021	05:36	19:23									
22/12/2021	05:37	19:24									
23/12/2021	05:37	19:24									
24/12/2021	05:38	19:24									
25/12/2021	05:38	19:25									
26/12/2021	05:39	19:25									
27/12/2021	05:39	19:26									
28/12/2021	05:40	19:26									
29/12/2021	05:41	19:26									
30/12/2021	05:41	19:27									
31/12/2021	05:42	19:27									
